Ti,V,Fe,Co,Ni,Zr,Mo,Sn,W,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs,Cs_zscore
False,False,True,False,False,False,True,False,False,NoCP,NoCP,hollow morph,NoCP,43.0,6.0,K,OH,0.0,1.0,4.0,179.0,-0.7222165204686845
False,False,True,False,False,False,True,False,False,NoCP,NoCP,hollow morph,NoCP,43.0,6.0,K,OH,0.0,1.0,5.0,163.0,-0.7468829481173749
False,False,True,False,False,False,True,False,False,NoCP,NoCP,hollow morph,NoCP,43.0,6.0,K,OH,0.0,1.0,7.0,154.0,-0.7607578136697632
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,23.8,2.0,K,OH,-1.1,0.0,1.0,471.0,-0.272054215880085
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,23.8,2.0,K,OH,-1.1,0.0,2.0,398.0,-0.3845947920272349
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,23.8,2.0,K,OH,-1.1,0.0,3.0,369.0,-0.4293026921404862
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,23.8,2.0,K,OH,-1.1,0.0,5.0,356.0,-0.4493441646050471
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,23.8,2.0,K,OH,-1.1,0.0,10.0,335.0,-0.4817188508939533
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,23.8,2.0,K,OH,-1.1,0.0,15.0,321.0,-0.5033019750865574
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,23.8,2.0,K,OH,-1.1,0.0,20.0,307.0,-0.5248850992791614
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,2.0,228.0,-0.6466755857945702
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,4.0,170.0,-0.7360913860210728
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,6.0,140.0,-0.7823409378623672
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,8.0,119.0,-0.8147156241512734
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,10.0,91.0,-0.8578818725364816
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,2.0,303.0,-0.531051706191334
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,4.0,235.0,-0.6358840236982681
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,6.0,210.0,-0.6744253168993468
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,8.0,192.0,-0.7021750480041236
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.4,1.0,K,OH,-1.2,-0.2,10.0,176.0,-0.7268414756528139
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,2.0,105.0,-0.8362987483438775
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,4.0,84.0,-0.8686734346327836
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,6.0,74.0,-0.8840899519132152
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,8.0,63.0,-0.9010481209216897
False,False,True,False,False,False,False,False,False,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,10.0,60.0,-0.9056730761058192
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,3.6,2.0,K,OH,-1.1,0.0,3.0,459.0,-0.2905540366166028
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,3.6,2.0,K,OH,-1.1,0.0,5.0,372.0,-0.42467773695635674
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,3.6,2.0,K,OH,-1.1,0.0,10.0,309.0,-0.5218017958230752
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,3.6,2.0,K,OH,-1.1,0.0,15.0,299.0,-0.5372183131035067
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,3.6,2.0,K,OH,-1.1,0.0,20.0,289.0,-0.5526348303839381
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,3.6,2.0,K,OH,-1.1,0.0,30.0,269.0,-0.5834678649448011
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,3.0,721.0,0.1133587161307022
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,5.0,650.0,0.003901443439638626
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,10.0,621.0,-0.04080645667361269
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,15.0,617.0,-0.046973063585785284
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,20.0,614.0,-0.05159801876991473
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,30.0,589.0,-0.09013931197099345
False,False,True,False,False,False,False,False,False,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,3.0,769.0,0.18735799907677333
False,False,True,False,False,False,False,False,False,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,5.0,708.0,0.09331724366614126
False,False,True,False,False,False,False,False,False,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,10.0,637.0,-0.016140029024922307
False,False,True,False,False,False,False,False,False,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,15.0,587.0,-0.09322261542707976
False,False,True,False,False,False,False,False,False,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,20.0,570.0,-0.11943069480381328
False,False,True,False,False,False,False,False,False,G-based,2D,nanoparticles,supported,165.0,2.0,K,OH,-1.1,0.0,30.0,555.0,-0.1425554707244605
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,127.6,2.0,K,OH,-0.1,0.4,1.0,1301.0,1.0075167183957285
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,127.6,2.0,K,OH,-0.1,0.4,2.5,1073.0,0.6560201244018906
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,127.6,2.0,K,OH,-0.1,0.4,5.0,883.0,0.3631062960736923
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,127.6,2.0,K,OH,-0.1,0.4,10.0,650.0,0.003901443439638626
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,127.6,2.0,K,OH,-0.1,0.4,20.0,450.0,-0.30442890216899116
