Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,PW,CD,Cs
27,4,9,1.88,1.18,3,4,4,1,98.1,2.0,K,OH,0.45,8.0,957.0
27,4,9,1.88,1.18,3,4,4,1,98.1,2.0,K,OH,0.45,16.0,787.0
27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,K,OH,0.5,1.0,1008.0
27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,K,OH,0.5,2.0,964.0
27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,K,OH,0.5,5.0,873.0
27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,K,OH,0.5,8.0,788.0
27,4,9,1.88,1.18,3,3,4,3,111.3,2.0,K,OH,0.5,10.0,740.0
27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,K,OH,0.45,1.0,518.4
27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,K,OH,0.45,2.0,397.0
27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,K,OH,0.45,3.0,331.0
27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,K,OH,0.45,5.0,272.0
27,4,9,1.88,1.18,1,1,4,1,16.3,3.0,K,OH,0.45,10.0,215.0
27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,K,OH,0.45,1.0,688.8
27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,K,OH,0.45,2.0,538.0
27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,K,OH,0.45,3.0,456.0
27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,K,OH,0.45,5.0,384.0
27,4,9,1.88,1.18,1,1,4,1,22.4,3.0,K,OH,0.45,10.0,317.0
27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,K,OH,0.4,0.5,146.0
27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,K,OH,0.4,1.0,139.0
